,level_0,index,name,desc,type,egg_group
0,0,0,이상해씨,태어날 때부터 등에 식물의 씨앗이 있어 조금씩 크게 자란다.태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.며칠 동안 아무것도 먹지 않아도 건강. 등의 씨앗에 많은 영양이 있기에 괜찮다.등의 씨앗 안에는 영양이 듬뿍. 씨앗은 몸과 같이 커지고 있다.태어날 때부터 등에 씨앗을 짊어지고 있다. 몸이 커지면 자란만큼 씨앗도 커지게 된다.태어나서 잠깐 동안 등의 씨앗에 모인 영양을 받고 자란다.양지에서 낮잠 자는 모습을 볼 수 있다. 태양의 빛을 많이 받으면 등의 씨앗이 크게 자란다.태어날 때부터 등에 식물의 씨앗이 있어 조금씩 크게 자란다.태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.태어나면서 잠깐 동안 등의 씨앗에서 영양을 받으며 크게 자란다.태어나서부터 얼마 동안은 등의 씨앗으로부터 영양을 공급받아 크게 성장한다.등의 씨앗 안에는 영양이 가득하다. 씨앗은 몸과 함께 커진다.태어날 때부터 등에 씨앗을 짊어지고 있다. 몸이 크게 성장함에 따라 씨앗도 커진다.태어나서부터 얼마 동안은 등의 씨앗으로부터 영양을 공급받아 크게 성장한다.태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.태어나서부터 얼마 동안은 등의 씨앗으로부터 영양을 공급받아 크게 성장한다.양지에서 낮잠 자는 모습을 볼 수 있다. 태양의 빛을 많이 받으면 등의 씨앗이 크게 자란다.,"풀,독","괴수,식물"
1,1,1,이상해풀,꽃봉오리가 등에 붙어 있으며 양분을 흡수해가면 커다란 꽃이 핀다고 한다.등의 꽃봉오리가 크게 자라나면 두 발로 설 수 없게 되는 듯하다.양분을 받고 커진 꽃봉오리에서 향기가 나면 이제 곧 꽃이 핀다는 증거다.태양의 빛을 쬐이면 몸에 힘이 생겨 등의 꽃봉오리가 커져간다.등의 꽃봉오리에서 달콤한 향기가 퍼지기 시작하는 건 곧 큰 꽃이 피는 증거이다.등의 꽃봉오리는 양분을 흡수해 부풀어진다. 꽃이 필 때쯤 좋은 냄새가 난다.꽃봉오리를 지탱하기 위해 하반신이 강해진다. 양지에서 가만히 있는 시간이 길어지면 드디어 커다란 꽃이 필 때다.꽃봉오리가 등에 붙어 있으며 양분을 흡수해가면 커다란 꽃이 핀다고 한다.등의 꽃봉오리가 크게 자라나면 두 발로 설 수 없게 되는 듯하다.등의 꽃봉오리가 부풀어지면 달콤한 향기가 퍼지기 시작한다. 대륜의 꽃이 피는 전조.등의 봉오리가 부풀어 오르면 달콤한 냄새가 감돌기 시작한다. 큰 꽃이 필 조짐이다.햇빛을 받을수록 몸에 힘이 솟아나 등의 꽃봉오리가 자란다.등의 꽃봉오리에서 달콤한 향기가 나기 시작했다는 것은 이제 곧 커다란 꽃이 핀다는 증거다.등의 봉오리가 부풀어 오르면 달콤한 냄새가 감돌기 시작한다. 큰 꽃이 필 조짐이다.꽃봉오리가 등에 붙어 있으며 양분을 흡수해가면 커다란 꽃이 핀다고 한다.등의 봉오리가 부풀어 오르면 달콤한 냄새가 감돌기 시작한다. 큰 꽃이 필 조짐이다.꽃봉오리를 지탱하기 위해 하반신이 강해진다. 양지에서 가만히 있는 시간이 길어지면 드디어 커다란 꽃이 필 때다.,"풀,독","괴수,식물"
2,2,2,이상해꽃,꽃에서 황홀한 향기가 퍼져나가 싸우는 자의 기분을 달래게 한다.태양 에너지를 영양으로 해서 큰 꽃이 핀다. 양달에 유혹된 듯 이동한다.등에 생긴 큰 꽃은 태양 빛을 흡수해서 에너지로 변환할 수 있다.큰 꽃잎을 펼쳐 태양 빛을 쬐고 있으면 몸이 건강해져 힘이 흘러넘치게 된다.쬐인 태양 빛을 에너지로 변환할 수 있어서 여름에는 강해진다.태양 빛을 쬐어 몸이 따뜻해지면 꽃잎에서 기분 좋은 향기가 퍼진다.충분한 영양분과 태양의 빛이 꽃의 색을 선명하게 만든다고 한다. 꽃의 향기는 사람의 마음을 치유한다.꽃에서 황홀한 향기가 퍼져나가 싸우는 자의 기분을 달래게 한다.태양 에너지를 영양으로 해서 큰 꽃이 핀다. 양달에 유혹된 듯 이동한다.비가 내린 다음 날은 등의 꽃향기가 강해진다. 향기에 이끌려 포켓몬이 모여든다.큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.내리쪼이는 태양빛을 에너지로 변환할 수 있기 때문에 여름에 더욱 강해진다.비가 내린 다음 날은 등의 꽃향기가 강해진다. 향기에 이끌려 포켓몬이 모여든다.큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.비가 내린 다음 날은 등의 꽃향기가 강해진다. 향기에 이끌려 포켓몬이 모여든다.충분한 영양분과 태양의 빛이 꽃의 색을 선명하게 만든다고 한다. 꽃의 향기는 사람의 마음을 치유한다.,"풀,독","괴수,식물"
3,3,3,파이리,태어날 때부터 꼬리의 불꽃이 타오르고 있다. 불꽃이 꺼지면 그 생명이 다하고 만다.뜨거운 것을 좋아하는 성격. 비에 젖으면 꼬리 끝에서 연기가 나오는 듯하다.조용한 곳에 데려가면 꼬리가 타오르는 작은 소리가 들린다고.꼬리에서 타오르는 불꽃은 생명력의 증거. 건강하지 않으면 약해진다.꼬리의 불꽃은 파이리의 생명력의 증거. 건강하다면 맹렬하게 잘 타오른다.꼬리 끝의 불꽃은 건강하면 작게 물에 젖어도 꺼지는 일 없이 잘 타오른다.꼬리의 불꽃은 기분을 표현한다. 즐거울 때는 흔들흔들 불꽃이 흔들리고 화가 났을 때는 활활 맹렬히 불타오른다.태어날 때부터 꼬리의 불꽃이 타오르고 있다. 불꽃이 꺼지면 그 생명이 다하고 만다.뜨거운 것을 좋아하는 성격. 비에 젖으면 꼬리 끝에서 연기가 나오는 듯하다.파이리의 꼬리 불꽃은 생명의 횃불. 건강할 때는 불꽃도 힘좋게 타오른다.꼬리에서 타오르는 불꽃은 생명력의 상징. 기운이 없으면 불꽃이 약해진다.꼬리의 불꽃은 파이리의 생명력의 상징이다. 건강할 때 왕성하게 불타오른다.파이리 꼬리의 불꽃은 생명의 등불이다. 건강할 때는 불꽃도 강하게 타오른다.꼬리의 불꽃은 파이리의 생명력의 상징이다. 건강할 때 왕성하게 불타오른다.태어날 때부터 꼬리의 불꽃이 타오르고 있다. 불꽃이 꺼지면 그 생명이 다하고 만다.꼬리의 불꽃은 기분을 표현한다. 즐거울 때는 흔들흔들 불꽃이 흔들리고 화가 났을 때는 활활 맹렬히 불타오른다.,불꽃,"괴수,드래곤"
4,4,4,리자드,꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.불타는 꼬리를 휘두르면 주위의 온도가 점점 올라가 상대를 괴롭게 한다.강적과 싸워 흥분하면 푸르스름한 불꽃을 방사할 때가 있다.불타오르는 듯한 성격으로 항상 싸울 상대를 찾아다닌다. 이기지 못하면 마음을 잡지 못한다.불타는 꼬리를 휘두르고 예리한 손톱으로 상대방을 베는 거친 성격.싸움으로 기분이 고조되면 작열하는 불꽃을 뿜어대며 주변을 태워버린다.날카로운 발톱으로 봐주지 않고 때려눕힌다. 강한 적을 만나면 기분이 고양되며 꼬리의 불꽃이 푸르스름하게 불타오른다.꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.불타는 꼬리를 휘두르면 주위의 온도가 점점 올라가 상대를 괴롭게 한다.리자드가 사는 바위산을 한밤중에 관찰하면 꼬리의 불꽃이 별처럼 보인다.타오르는 듯한 성격으로 늘 싸울 상대를 찾는다. 이겨야만 마음이 가라앉는다.불타는 꼬리를 휘두르며 날카로운 발톱으로 상대를 베어 가르는 몹시 거친 성격이다.리자드가 사는 바위산을 한밤중에 올려다보면 꼬리의 불꽃이 별처럼 보인다.꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.불타는 꼬리를 휘두르면 주위의 온도가 점점 올라가 상대를 괴롭게 한다.날카로운 발톱으로 봐주지 않고 때려눕힌다. 강한 적을 만나면 기분이 고양되며 꼬리의 불꽃이 푸르스름하게 불타오른다.,불꽃,"괴수,드래곤"
5,5,5,리자몽,지상 1400미터까지 날개를 사용해 나는 것이 가능하다. 고열의 불꽃을 내뿜는다.암석도 태울 정도인 작열의 불꽃을 내서 산불을 일으키는 일이 있다.입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.정말 화가 난 리자몽의 꼬리 끝의 화염은 푸른빛으로 불타오른다.무엇이라도 녹여버릴 정도의 작열의 불꽃을 내뿜어 상대를 괴롭힌다.날개로 넓은 하늘을 높게 난다. 싸움의 경험을 쌓으면 불꽃의 온도가 높아진다.강한 상대를 찾아 하늘을 날아다닌다. 무엇이든 다 녹여버리는 고열의 불꽃을 자신보다 약한 자에게 들이대지 않는다.지상 1400미터까지 날개를 사용해 나는 것이 가능하다. 고열의 불꽃을 내뿜는다.암석도 태울 정도인 작열의 불꽃을 내서 산불을 일으키는 일이 있다.힘든 싸움을 경험한 리자몽만이 불꽃의 온도가 높아진다고 전해지고 있다.정말 화가 난 리자몽 꼬리 끝의 불꽃은 푸르스름하게 불타오른다.무엇이든 녹여버릴 정도의 작열하는 화염을 뿜어 상대를 공격한다.힘든 싸움을 경험한 리자몽일수록 불꽃 온도가 높아진다고 전해진다.입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.지상 1400미터까지 날개를 사용해 나는 것이 가능하다. 고열의 불꽃을 내뿜는다.강한 상대를 찾아 하늘을 날아다닌다. 무엇이든 다 녹여버리는 고열의 불꽃을 자신보다 약한 자에게 들이대지 않는다.,"불꽃,비행","괴수,드래곤"
6,6,6,꼬부기,긴 목을 등껍질 안에 움추릴 때 강한 물대포를 발사한다.태어난 후 등이 부풀어 단단한 등껍질이 된다. 입에서 강력한 거품을 낸다.긴 목을 등껍질 안에 움추릴 때 강한 물대포를 발사한다.수면에서 물을 분사하여 먹이를 잡는다. 위험해지면 등껍질에 손발을 감추고 몸을 지킨다.태어날 때는 부드러운 등껍질도 곧 손가락으로 찌르면 튕길 정도의 탄력성을 갖게 된다.태어나면 곧바로 단단해지는 등껍질에는 탄력성이 있어 손가락으로 찌르면 튕겨져버린다.위험해지면 등껍질에 손발을 숨겨서 몸을 지키면서 입에서 물을 내뿜는다.등껍질의 역할은 몸을 지키는 것뿐만이 아니다. 둥그런 모양과 표면의 홈이 물의 저항을 줄여서 빠르게 헤엄칠 수 있다.긴 목을 등껍질 안에 움추릴 때 강한 물대포를 발사한다.태어난 후 등에 부풀어 단단한 등껍질이 된다. 입에서 강력한 거품을 낸다.등껍질에 틀어박혀 몸을 지킨다. 상대의 틈을 놓치지 않고 물을 내뿜어 반격한다.갓 태어났을 땐 부드러운 등껍질도 곧 손으로 찌르면 튕길 정도의 탄력성을 가지게 된다.태어나서 조금 지나면 딱딱해지는 등껍질에는 탄력성이 있어서 손가락으로 찌르면 튕겨버린다.등껍질에 숨어 몸을 보호한다. 상대의 빈틈을 놓치지 않고 물을 뿜어내어 반격한다.수면에서 물을 분사하여 먹이를 잡는다. 위험해지면 등껍질에 손발을 감추고 몸을 지킨다.등껍질의 역할은 몸을 지키는 것뿐만이 아니다. 둥그런 모양과 표면의 홈이 물의 저항을 줄여서 빠르게 헤엄칠 수 있다.,물,"괴수,수중1"
7,7,7,어니부기,애완동물으로서 인기가 높다. 또 털로 감싸진 꼬리는 장수의 상징이다.자주 수중에 숨어 먹이를 노린다. 빠르게 헤엄칠 때 귀를 움직여 균형을 맞춘다.애완동물으로서 인기가 높다. 또 털로 감싸진 꼬리는 장수의 상징이다.딱 하고 머리를 맞을 때 등껍질로 숨어서 피한다. 하지만 꼬리가 살짝 삐져나와 있다.장수의 상징로 되고 있다. 등껍질에 비늘이 연결되어 있는 건 매우 장수한 어니부기이다.풍성한 귀와 꼬리를 교묘하게 조종해 수중에서 균형을 유지한다.길고 풍성한 꼬리는 장수의 상징. 특히 노인에게 인기가 있다.푹신한 털로 덮인 큰 꼬리는 오래 살수록 깊은 색으로 변한다. 등껍질의 상처는 강자임을 증명한다.애완동물으로서 인기가 높다. 또 털로 감싸진 꼬리는 장수의 상징이다.자주 수중에 숨어 먹이를 노린다. 빠르게 헤엄칠 때 귀를 움직여 균형을 맞춘다.일만년의 수명을 가졌다고 전해지고 있다. 풍성한 꼬리는 장수의 심볼로서 인기.장수의 상징으로 여겨진다. 등껍질에 이끼가 붙어 있는 것은 특히 장수한 어니부기이다.탐스러운 귀와 꼬리를 능숙하게 다뤄서 수중에서의 밸런스를 유지한다.만년의 수명을 가지고 있다고들 말한다. 치렁치렁한 꼬리는 장수의 상징으로써 인기가 있다.딱 하고 머리를 맞을 때 등껍질로 숨어서 피한다. 하지만 꼬리가 살짝 삐져나와 있다.만 년의 수명을 가지고 있다고들 말한다. 치렁치렁한 꼬리는 장수의 상징으로 인기가 있다.푹신한 털로 덮인 큰 꼬리는 오래 살수록 깊은 색으로 변한다. 등껍질의 상처는 강자임을 증명한다.,물,"괴수,수중1"
8,8,8,거북왕,무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.등껍질에 분사구가 있어 로켓 같은 기세로 덤벼드는 굉장한 녀석이다.상대에게 겨냥하면 소방수의 호스보다 강한 기세로 물을 내뿜는다.분사한 물의 기세에 지지않게 기술과 체중을 무겁게 하고 있는 것이다.등껍질의 로켓포에서 내뿜는 제트수류는 두툼한 철판도 뚫는다.등의 분사구에서 기세좋게 물을 내뿜을 때 힘좋게 대지를 딛는다.등껍질의 분사구로 하는 조준은 정확하다. 물 탄환으로 50m 떨어진 빈 캔을 명중시킬 수 있다.무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.등껍질에 분사구가 있어 로켓 같은 기세로 덤벼드는 굉장한 녀석이다.등껍질의 로켓포에서 내뿜는 수류는 두툼한 철판도 한발에 뚫는 파괴력.분사한 물의 기세에 지지않게 기술과 체중을 무겁게 하고 있는 것이다.등껍질의 로켓포에서 뿜어져 나오는 제트 수류는 두꺼운 철판도 뚫는다.등껍질의 로켓포로부터 뿜어내는 수류는 두꺼운 철판도 한 번에 꿰뚫는 파괴력이 있다.무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.등껍질에 분사구가 있어 로켓 같은 기세로 덤벼드는 굉장한 녀석이다.등껍질의 분사구로 하는 조준은 정확하다. 물 탄환으로 50m 떨어진 빈 캔을 명중시킬 수 있다.,물,"괴수,수중1"
9,9,9,캐터피,푸른 피부로 감싸져 있다. 탈피하여 성장하면 실을 늘어뜨려 번데기로 바꾼다.발은 짧지만 흡판처럼 되어있어서 비탈이라도 벽이라도 지치지 않고 나아간다.푸른 피부로 감싸져 있다. 탈피하여 성장하면 실을 늘어뜨려 번데기로 바꾼다.머리 끝에 있는 더듬이에 닿으면 강렬한 냄새를 내뿜어 몸을 지키려 한다.머리의 더듬이에서 강렬한 냄새를 내어 적을 내쫓아 몸을 지킨다.발 끝은 어떤 곳이라도 달라붙는 흡판. 필사적으로 나무를 올라 나뭇잎을 먹는다.나뭇잎 안에 숨는 건 몸과 같은 색 안에 자신을 위장하기 위해서.몸보다 커다란 잎사귀를 순식간에 먹어치울 정도의 식욕을 지녔다. 더듬이로 강렬한 냄새를 피운다.푸른 피부로 감싸져 있다. 탈피하여 성장하면 실을 늘어뜨려 번데기로 바꾼다.발은 짧지만 흡판처럼 되어있어서 비탈이라도 벽이라도 지치지 않고 나아간다.빨간 더듬이에서 냄새를 내뿜어 적을 쫓아낸다. 탈피를 반복해 커진다.빨간 더듬이로부터 냄새를 내어 상대를 쫓아 버린다. 탈피를 반복하여 자라게 된다.머리의 더듬이로부터 강렬한 냄새를 내어 적을 물리치고 몸을 보호한다.발끝에는 어디든지 달라붙는 빨판이 있다. 필사적으로 나무타기를 해서 나뭇잎을 먹는다.빨간 더듬이로부터 냄새를 내어 상대를 쫓아 버린다. 탈피를 반복하여 자라게 된다.머리의 더듬이로부터 강렬한 냄새를 내어 적을 물리치고 몸을 보호한다.발끝에는 어디든지 달라붙는 빨판이 있다. 필사적으로 나무 타기를 해서 나뭇잎을 먹는다.몸보다 커다란 잎사귀를 순식간에 먹어치울 정도의 식욕을 지녔다. 더듬이로 강렬한 냄새를 피운다.새포켓몬에게 습격당하면 뿔에서 냄새를 뿜어 저항하지만 먹이가 되는 일도 많다.잡기 쉽고 성장도 빠르다. 새내기 트레이너의 파트너로 추천하는 포켓몬 중 한 마리.빨리 성장하고 싶어서인지 식욕이 왕성하여 하루에 100장의 잎사귀를 먹는다.몸은 부드럽고 힘도 없다. 자연계에서는 항상 먹이로 노려지게 될 운명이다.,벌레,벌레
